"","WKY_Joint_3m_A","WKY_Joint_3m_B","WKY_Joint_3m_C","SHR_Joint_3m_A","SHR_Joint_3m_B","SHR_Joint_3m_C"
"RGD1309779",6.29683819880371,6.28234806161188,6.34810704708996,6.3871623678224,6.30480351394897,6.28746902400353
"Tipin",7.05267468909083,7.27113270793544,7.36701825356864,7.31038287306149,7.51684819187823,7.20850097741436
"Dis3l",8.48579175495519,8.66315775994789,8.57076072778045,8.69758537874512,8.49095793566228,8.59798568687479
"Igdcc4",10.611582998638,10.4968647639451,10.6624617178098,10.4643541502812,10.9121154350587,10.5799969561517
"Pdcd7",8.44677757220497,8.31070476559686,8.29286388236651,8.26782507963099,8.21345010200795,8.32651487735387
"Fbxl22",2.1420834353025,2.22686130722358,2.21170144413654,2.25764312473183,2.27315866825349,2.23817182361916
"Usp3",9.05012448427406,9.01119745724046,8.97026164115556,8.93581203277383,8.89223071902802,8.97442070550262
"Car12",2.91110116849292,3.00327452546085,2.79172185743982,2.69688959769522,2.55458981836454,2.79120569756694
"Ccnb2",8.82125358972672,9.35896991355545,8.95428225317433,8.87254248891513,8.2315525647098,8.68787702527922
"Mindy2",9.57793633246873,9.2886320433358,9.03866368956544,8.64529243881443,8.19193098029009,8.81323220788909
"Myzap",6.0567627663027,5.92694272609078,5.84224290257425,5.81619874642798,5.51427712747364,5.81484778057331
"Mns1",5.33930007775604,5.68380050357844,5.52523868632692,5.58868172822091,5.03879826965968,5.30005160328061
"Dnaaf4",4.12286530593045,4.07860026905757,4.06397184964584,3.99063594902653,3.97913402201114,4.021645923367
"Ccpg1",10.3424337768883,10.1997805033423,10.167791394733,10.1820983861761,10.2505809998835,10.3196554384122
"Rsl24d1",9.24082403973945,9.29543377300077,9.24769332766498,9.19262460552843,9.30021365906284,9.26685471100078
"Slc17a5",7.8264418093658,7.65311847975244,7.70315431277484,7.88386807596887,7.79806071694754,7.87759022824249
"Cd109",7.87537609548618,8.08876776951579,8.23699014363604,8.00788569466437,8.62432243203426,8.06118585221426
"Pgm3",9.42027298652577,9.52536075362238,9.50952816560121,9.54534359971634,9.68661062470702,9.57926581668454
"Rwdd2a",5.23689319970294,5.42689679596077,5.19573923846619,5.45655314633693,5.18033619443552,5.4546004297519
"Mrap2",3.57798195328668,3.7088093008487,3.84480067534927,3.83326663593572,3.91230448517433,3.67138051227344
"Syncrip",11.4257001060756,11.4641422527731,11.4675469992277,11.3136646749477,11.5205614878579,11.3944872615995
"Slc9a9",6.85720735042096,6.94709165521754,6.92130624383159,6.90303261887269,7.14494433731063,7.00483173707933
"Nmnat3",6.42318451187566,6.14658986901797,6.19604202933932,6.17410850818521,6.14340841314827,6.24760362177424
"Esyt3",2.42247927870168,2.34159294341487,2.35206630841563,2.37206738087233,2.4435491018483,2.43777804400296
"Ppp2r3a",7.62406865603915,7.47398611144551,7.67949778287592,7.55333949788832,7.66274336907606,7.4775710343486
"Rab6b",6.17661309208363,6.05790129796975,6.33063057354263,6.65931847810027,7.40206649570605,6.81731910838722
"Nphp3",7.82144088806295,7.68699184950327,7.75023402001334,7.64091863994636,7.83739719198659,7.74314026473625
"Dnajc13",10.0674877504999,10.0271329071486,10.1747411245306,10.0836046220998,10.2401462785519,10.0344446546195
"Nudt16",7.73568719703261,7.49991561692813,7.31461907401445,7.43228626805018,7.06490244110775,7.55177668754489
"Aste1",5.65327113999984,5.59074623511317,5.65395190131655,5.38248635368824,5.55442023516728,5.43651008066772
"Pik3r4",9.51019787197156,9.38390930520353,9.43879340246876,9.44541842339779,9.55053296598434,9.50623588080985
"Pcbp4",10.5174659984181,10.6049011861847,10.672164337246,10.6932760037765,10.7880389665924,10.6296767402399
"Rrp9",8.56019475628125,8.79041646246111,8.73275251560623,8.69464488908467,8.79809132755239,8.68892120208348
"Rad54l2",8.00795427629877,8.00154580112303,8.24613966730914,8.0195426361432,8.27801958140762,7.90739148017717
"Tmem115",10.3314621728569,10.3730152538509,10.3063690414482,10.4664584530205,10.5205726105493,10.5393852036906
"Cyb561d2",8.36054118471935,8.31065809075797,8.20472507624236,8.35550407655474,8.26753341011266,8.44239330483
"Nprl2",9.11059919378333,8.95601036509069,8.86156758153098,8.84855465292012,8.69070904353013,8.94136904613116
"Zmynd10",5.23495373702785,5.30107163932388,5.36576777171202,5.23862944604516,5.38927105694719,5.21619516796002
"Rassf1",8.71394110352332,8.89723876547381,8.9149190432699,9.01971452964614,9.05791979238884,8.92948805224616
"Sema3b",7.82545419118735,7.39701901450338,7.6919894410898,8.21844274303287,8.2261513291905,8.14154419786725
"Gnat1",4.81471714788847,5.01442091468567,5.05235008402773,4.99924038926321,4.87990884813298,4.80179356595744
"Cdhr4",-0.38081316454313,-0.350836867065405,-0.342434489629831,-0.291612106414936,-0.346506578176372,-0.34244986847009
"Gmppb",9.14404433013635,9.16923910067472,9.22891075341503,9.3977402896592,9.57194818576798,9.4125751997041
"Dalrd3",8.49305353759303,8.37900965802245,8.22938754187703,8.29497014353823,8.17147433421859,8.43986629480912
"Elp6",7.6423481510659,7.60068724193115,7.48824410848336,7.53026383269379,7.39744785217051,7.59712943044732
"Ccdc12",8.11424308366447,8.38181326574312,7.98603608730766,8.22345607582633,7.7204568134818,8.23394853205021
"Stac",4.31675048213076,4.20797963593734,4.88267553958541,5.37729531889746,5.30680904175962,4.72174169977718
"Arpp21",-1.96330578072834,-1.97467771779471,-1.97158009411096,-1.97450818547655,-1.97388122359951,-1.9716063596886
"Fbxl2",6.56996217005163,6.718686778471,6.83290688912666,7.1963541872978,7.18565332419595,7.00242134088153
"Crtap",6.48226916947501,6.10274913747449,6.20583518963837,6.14896874808599,6.11997064887639,6.22114366231757
"Gpd1l",7.2146176631752,7.29819214829518,7.12008550661265,7.16562360003996,7.28438158945552,7.36132199387028
"Stt3b",11.325733590033,11.3307651976963,11.2824537359254,11.3852374362812,11.5062573204697,11.4915430363147
"Cmc1",7.45836949516955,7.50280518834844,7.36888315899853,7.28313240991637,7.22486053028262,7.36570065285997
"Wdr48",10.3122879479838,10.3482166435026,10.3447106557959,10.3310875242469,10.3739586165721,10.3380647103568
"Csrnp1",8.98918504261633,8.74369573135638,9.27430171895735,9.332133161411,9.36214819949434,8.93927934848168
"Ulk4",6.24082484881122,6.1753354867573,6.28922970829173,6.21149941690904,6.45505428097957,6.25212730843683
"Tcaim",8.13899575639085,8.10426437893063,8.18038826708066,8.11735478197068,8.10117140059722,8.05050489186403
"Zkscan7",5.87395489720126,5.69865466819749,5.84881483727244,5.74481911432988,5.67683596050431,5.64831748284404
"Tmem42",7.7003271322486,7.54343530819468,7.5090613042628,7.73840927415523,7.6523557119255,7.80820240899921
"Lars2",8.18269199036897,8.22911576675195,8.04020656443438,8.21019458497004,8.08647357133066,8.31403139227643
"Sgo1",7.86965859125409,8.25352110368391,8.09379547885715,7.87295167716522,7.64144561763555,7.72499301601223
"Foxp4",11.3251055823234,11.3974898163681,11.4460852355466,11.3518836490077,11.2617063912558,11.2220074839309
"Mrps10",6.35346968139067,6.41914149244621,6.43858635944932,6.35064641593391,6.50861941719507,6.37735214403361
"Ubr2",9.90659858046857,9.79353201903869,9.97857756424262,9.91460958863857,10.2898810713192,9.97373306548992
"Klhdc3",10.1958484098986,10.1237018317901,10.2254556017992,10.239646640938,10.175953343982,10.1421195115051
"Ppp2r5d",11.3223574472824,11.3402634315328,11.2745620715056,11.269566051558,11.1289709387263,11.2560168630441
"Xpo5",9.98061316142929,10.0553801387691,10.2056088796724,10.1369166284847,10.4263278532237,10.094010011281
"Gtpbp2",9.54009246126121,9.47874809470837,9.6007159510014,9.69546285394456,10.0241209553198,9.76849623161557
"Tmem63b",10.9267817886621,10.8506013691042,10.9094958887341,10.94800026129,10.8307475926984,10.8685696171433
"Cenpq",6.30832945512569,6.43988278493212,6.33642625624797,6.30014453332647,5.99149341594174,6.18349883841505
"Tmem14a",1.6085134611538,1.65713777183541,1.60968652703073,1.60949041498161,1.56348180459223,1.6096251992508
"Phf3",10.0903298697927,10.1048787186086,10.1878395836051,10.1337724684288,10.2807660587204,10.1170339741702
"Bend6",8.70348428250099,8.43503642748568,8.58631045194206,8.67628863736111,8.82689631167837,8.73454237757102
"Ccdc115",7.73261781642159,7.63168998449182,7.66871219986772,7.78160688890682,7.6254531165414,7.7169717033131
"Cnnm4",8.2043657744942,8.18069228536971,8.12086389293613,8.05390621323289,8.14128775107524,8.1692621191499
"Mitd1",7.58660712853513,7.46319325669758,7.47956039034013,7.39706267883152,7.4459654451258,7.46685386425488
"Aff3",9.92991992158098,10.1179762571438,10.1108510435483,10.0654710376889,10.5884279131261,10.2400465212215
"Cnot11",9.48618022284744,9.45692217871182,9.47869102779973,9.51255191885245,9.48863297697477,9.49345262089351
"Rnf149",9.53806534474139,9.36361307567727,9.41271255896015,9.48689024645682,9.55531454172954,9.55922904534236
"RGD1305645",8.42756426857059,8.99204690831107,7.91512532016132,7.7053426135653,7.55907902053785,8.42689108533109
"Nabp1",7.71038386387755,6.76044334825306,7.17612186157359,6.93752512355945,7.30717481065935,7.18164171160111
"Tmeff2",4.56288822774287,4.38265675365738,4.00984576403712,4.13992494374808,4.09713459504452,4.58145649605931
"Slc39a10",8.94040357553912,9.01431761691619,9.13269783925901,8.87365049325134,9.00374571491658,8.78336086105261
"Rftn2",7.45889566507403,7.18743711298817,7.2576667517272,7.43130380932087,6.99997922501478,7.28114115447173
"Bzw1",12.0656257112432,11.9576419551225,12.0012027904705,11.9044981502067,12.101434619553,12.0133974275923
"Als2",8.89558745283975,8.77392233973243,8.86045222896188,8.75391010249197,8.90104770745764,8.80178157229902
"Fam117b",9.27539878864551,8.96925968069568,9.15064370720161,9.11925255917052,9.20355298305689,9.1330882985827
"Wdr12",9.16171251107593,9.21898598877722,9.17863036464647,9.21132845153048,9.12891845276731,9.181842337429
"Raph1",9.73314906119453,9.73821001912166,10.0415700046065,9.73316414683934,10.3866722438466,9.7540277308946
"Eef1b2",12.2895205631237,12.2873955839588,12.1472992785283,12.2187044702947,12.0477106631607,12.2743663617406
"Klf7",7.90762175138005,7.90978908075649,8.16806816816179,8.0391792547242,8.10136326273049,7.81090850663383
"Xrcc5",10.0443744995818,9.9410630294242,10.0174977226849,9.92322415909018,9.86740010533008,9.87053317402824
"Ctdsp1",11.5606996954392,11.4450834586227,11.372021767773,11.3377878594012,11.310081904245,11.4548046910811
"Nhej1",7.10357943204802,6.92420313357384,6.83142989033719,6.82926719691757,6.57118812367352,6.88268905276929
"Retreg2",9.78153835262233,9.6853942250227,9.51826736545765,9.56041353277321,9.16574251153197,9.57827694551745
"Zfand2b",7.84608627989289,7.88572544113532,7.71427468220243,7.81044803353462,7.66658096012881,7.89014567514339
"Atg9a",11.486306082875,11.3195512249283,11.3402401044156,11.354967583821,11.2766116169668,11.37847814988
