"","WKY_Joint_5d_A","WKY_Joint_5d_B","WKY_Joint_5d_C","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C"
"Ppp1r36",8.53717535226343,7.94054795285673,8.18550561186519,8.52455954066489,8.42530459597393,8.52828810901431
"Churc1",7.96228518944557,8.16929722397503,8.158123700307,8.08211107074084,8.08474142865746,7.99109375610245
"Rab15",8.47637348637785,8.00451306811527,7.78423450168825,7.96948606295961,7.94297553500939,8.41243957454281
"Atp6v1d",10.3567600951497,10.6661406621441,10.5386173307249,10.5809873304757,10.6501938300972,10.5884236282084
"Med6",8.33686251011938,8.06157608535663,8.19749942534253,8.09921997479597,8.07761786820944,8.09013879389819
"Dpf3",-0.610853114585616,-0.581867531180854,-0.635143489403543,-0.639795438901016,-0.639826603565968,-0.601027854713184
"Zfyve1",8.81705807253976,9.42092092279259,9.2917648494902,9.31747774923908,9.24268704113352,9.10730704336227
"LOC299190",-1.96754109503237,-1.96742589884747,-1.96168821052579,-1.9673934396939,-1.96747833944204,-1.9732311759821
"Acot6",0.174712952817491,0.175743730506054,0.177315505886242,0.147494581741107,0.147073926146235,0.145197089719201
"Ptgr2",9.13965167026456,9.00404840768966,9.22798917779332,9.1343006561999,9.09568863395508,8.95885550626129
"Coq6",8.10350816968369,8.17572751219817,8.12012899738458,8.10766052344005,7.95790650185611,8.05227235620442
"Abcd4",8.47196305411292,8.35458491470922,8.60721098643162,8.68706149014288,8.7632848337042,8.53123615990299
"Arel1",9.97478697707939,10.1570917883958,10.1830902817984,10.0573030394335,10.1366925945667,9.97984691793934
"Fcf1",9.47314687319136,9.15721926380617,9.14982723968818,9.08321986896993,9.17171868387852,9.2928251052348
"Ylpm1",9.95359868753451,10.2696278781137,10.0283287257984,10.1645627166909,10.0914159543847,10.2112738925636
"Dlst",12.1521514579332,11.810803565665,11.9410701511902,11.7756943136314,11.8401700230006,11.8483395289249
"Rps6kl1",-1.49954112082189,-1.49934254938129,-1.48945210868006,-1.47882843802679,-1.47897478545409,-1.48889133816196
"Acyp1",7.99625461613478,7.6223811073211,7.75643645031866,7.68392036906419,7.77217667128077,7.78092993158176
"Nek9",11.3360975731429,11.6120245275014,11.4762079775674,11.4832712618492,11.4582334941588,11.4686054507586
"Batf",1.81018511455986,1.69966150939953,1.72777897319127,1.78584592870711,1.86203683271696,1.85108571950046
"Erg28",9.44752298019116,9.31678601041657,9.31871483660242,9.4605363568538,9.58799955241572,9.5877076133362
"Ttll5",8.65731513055941,8.52599565518582,8.56168801476697,8.50658822293766,8.50350479701579,8.53501388808237
"Ift43",8.30077295687813,7.9180047602661,8.11932614014114,8.18744524753637,8.29985221555493,8.23371144997663
"Esrrb",0.661412976950014,0.719589368603094,0.766225808153867,0.71989221562789,0.719102642752956,0.643772793813111
"Flrt2",11.4577053971451,12.0917425515403,11.8474675260826,11.8732412299727,11.8430444546346,11.7853992905638
"Gpr65",-1.45909351897128,-1.49915473213435,-1.48942376516156,-1.49909968227218,-1.49924366998967,-1.48887203652218
"Ttc8",8.16857443621966,8.26396028624818,8.22046934029761,8.1524591450302,8.25213302315202,8.19809410502742
"Cpg1",1.9088776219549,1.98621033558274,1.92039961440938,2.01071101908618,1.90998289773006,1.98749132276756
"Kif4b",-0.61040764409964,-0.610364966354223,-0.5638672528538,-0.580677865410555,-0.581078933919928,-0.627397452038373
"Cpsf2",10.2235685142854,10.0995042144614,10.1243979569255,10.2029256016167,10.0905899753755,10.183896195944
"Golga5",9.3903449997416,9.37735195556023,9.42347245330004,9.3960922186731,9.34839162668391,9.33261794702938
"Moap1",6.21533487352724,6.30581256497928,6.39954105525468,6.56607319155537,6.61723351339343,6.45268601647299
"Asb2",2.47780793237876,2.61043014055653,2.7054245587511,2.65879772685648,2.76263683986883,2.54941176107921
"Ifi27l2b",7.03000396428857,7.94059243302864,7.6099604922053,7.79374516840777,7.80602160243493,7.67522109187466
"Serpina6",1.4528096804442,1.65279523891468,1.62751006973304,1.45306788893675,1.48433189760781,1.39399228321868
"Serpina9",-1.49958886026772,-1.47884888676486,-1.48945919130344,-1.47879270925442,-1.49948024829102,-1.48889616098556
"LOC299277",0,0,0,0,0,0
"RGD1565462",1.38567894437507,1.04387439815704,1.09288569572019,1.01025308809443,1.010120878923,1.13207795905457
"Dicer1",10.0648371414469,10.0529470406423,10.0461781861169,10.0675640646706,10.0655093842068,10.0792506293664
"Clmn",6.20611834614146,6.69941904347662,6.38143967727022,6.58985761604875,6.53046906309991,6.63149235711315
"Setd3",10.5322666250942,10.5042455215815,10.5765823529506,10.5613090753508,10.558356246557,10.5015063813412
"Jade3",6.6641843305463,6.57631643949698,6.54266901999275,6.92016191066667,6.89579190157928,6.98555827115187
"Ndufb11",10.1876621118771,10.0623634439732,9.92908460410017,10.0018897491543,10.0335046480443,10.2136253724243
"LOC299312",9.0637487486646,8.74937180899962,8.79874887650093,8.90357437019183,8.87430069187007,8.99674893336213
"Uxt",8.85252445956225,8.41489346922157,8.47419111260075,8.45881598661097,8.45072457985489,8.61428813502409
"Cfp",4.75904028164894,4.61379988444243,4.63416022187283,4.68733439605375,4.71540991224975,4.75363201532461
"Slc25a47",0.607485210119289,0.523351676525001,0.548925424896367,0.553057452537465,0.58094006656765,0.583491777978336
"RGD1305298",-1.96754109503237,-1.96742589884747,-1.96168821052579,-1.9673934396939,-1.96747833944204,-1.9732311759821
"Hsp90aa1",13.9998813584321,13.4124822130506,13.5498663568719,13.522545907308,13.5083580346811,13.671767399864
"Cinp",9.27396355503143,9.02638607139548,9.06218609634361,8.99658646054261,9.08283179776111,9.12769784602171
"Exoc3l4",3.71242149390078,3.95451859757286,3.83727586628716,3.82506521296728,3.93398463757842,3.87571910472251
"Tnfaip2",10.1373900564086,10.4110873412105,10.316591129346,10.1334443448636,10.0988900284029,10.0738147560968
"Apopt1",8.42764504994681,8.32896997474616,8.33928263938244,8.16769953255996,8.18497094212046,8.21536011030426
"Nudt14",6.37616577382035,6.86880303661367,6.70783661268866,6.5894570898862,6.55088055305429,6.4848166139986
"Brf1",9.04627717002964,9.11310197136292,9.00732501821022,9.09672932634808,9.09256832693078,9.1670133791255
"Syne3",8.69105106014552,8.39623476471607,8.34189530859225,8.49147039607333,8.41954970014368,8.65725765194705
"Esyt2",11.7214562570595,11.3615194240752,11.5868848678228,11.6211344653317,11.5900991498521,11.5602197803365
"Sp8",-1.96109239742887,-1.97149441658262,-1.96904229304321,-1.97146568874592,-1.97154082890923,-1.96875437279011
"Asnsd1",10.2940630896316,10.0205616716668,10.0600012480005,10.0673463603555,10.0801553295954,10.1710619776242
"Myo1a",1.06386873472074,1.09202433534729,1.02417599614299,1.06582753699012,1.0090437875839,1.09120620117803
"Zbtb39",8.53176375022992,8.55661262673896,8.5817105712523,8.52440946556601,8.58708391700688,8.51822430851858
"Rdh16",4.40909082657068,5.10762301790441,4.91127935478501,5.15254944207867,5.05901356165788,4.95285906932081
"Mterf3",8.82754524576306,8.70625544634344,8.72079585011732,8.76998945366197,8.81276385512299,8.83748115032842
"Camkmt",6.82537717241782,6.77323138525783,6.93902195447063,6.69280486438264,6.68321329491679,6.54829140401691
"RGD1310212",2.40314813530224,2.23104127340982,2.17665622655521,2.25921852217466,2.30982812800999,2.42496180289316
"Cyp4f39",2.08890917995955,2.48759819910918,2.292551885941,2.26231537983141,2.33364818601386,2.293683586516
"Pglyrp2",0.319685336158137,0.377714007769637,0.394492526052752,0.349411239320575,0.404518657333076,0.33117209423796
"Akap8l",8.67367609317412,9.22442032915723,8.99947538235508,8.96438247844642,8.90842780050793,8.88597796828777
"Cdc34",10.2128566097444,9.71178415040261,9.90318482069591,9.85707716823977,9.9076571015012,9.94150269424809
"Polrmt",8.16373809694336,8.13946315544356,8.17236533659457,8.09620600409854,8.14795607704203,8.10131633016918
"Med16",10.4373114686188,10.1281836857693,10.2298877010768,10.1497643694939,10.2055736460107,10.2305288838695
"Tmem259",11.2674810379093,11.0570105762507,11.1887772337158,11.1578174498887,11.2317074495808,11.1682310230989
"Abca7",7.8587603249889,7.90643970091843,7.91576737696213,7.61677072378855,7.66584876114022,7.60814237845593
"Apc2",5.98234078456173,6.34961037631916,6.38073283970113,6.21092047313755,6.28213197680837,6.03176896571228
"RGD1359127",9.24586952891701,9.03965837809275,9.10693373606422,9.00461547997521,9.02606225159061,9.05116908322357
"Mex3d",10.263400753993,10.2805103233515,10.3495371219992,10.5034186966284,10.5303145769169,10.4392850534457
"Atp8b3",1.81384131644195,1.97937629106524,1.97238216457504,2.0522165273223,1.97789728087621,1.93928354327781
"Abhd17a",10.5892728770877,10.6505411562402,10.6432820176677,10.584152749211,10.5614909035227,10.5494468253631
"Mknk2",11.1276759377369,10.9977836129915,10.9910185806782,11.1021953899075,11.1643011067906,11.204959443035
"Sf3a2",11.0990490063928,10.6885770046482,10.889018971192,10.767620150024,10.8254809402587,10.8013445794699
"Lmnb2",10.6394796470601,9.74211655527319,9.97436300348054,9.84435660923125,9.83285364463029,10.0550402246169
"Gadd45b",9.91744124352053,9.35315506025383,9.60949204290354,9.89200316189691,9.95076362338011,9.94718950162216
"Mrpl54",9.68974769028628,9.36434237114248,9.30290583531406,9.30905845762799,9.26927127193936,9.513304060184
"Tle2",7.03255497832969,7.65105173827732,7.63042912530112,7.36346329686753,7.49907281035588,7.14264228661409
"Tle6",2.91382661862608,3.13966318172265,3.10078621936929,2.99088559441449,3.09746978570078,2.97013637086271
"Sirt6",9.50301424594623,9.72006692399178,9.62405410094504,9.60990084880677,9.59573203818735,9.59030292752103
"Ankrd24",2.76177649390073,3.07548290392773,3.00646490414928,2.58742732922623,2.76349134433262,2.58762413154437
"Ndufa7",9.59490475951033,9.31946222950188,9.45699247093122,9.44902962879424,9.58171582014507,9.51556374804454
"Zfp414",9.42425243274323,9.20531676208886,9.26752952490183,9.20947971106414,9.17528239948175,9.23963612778716
"RGD1560291",0.745297100552049,0.774532720835715,0.704257017809003,0.716306175271183,0.774043118633087,0.800832539837014
"RGD1566251",-1.97166970264023,-1.97156529502592,-1.96905415639174,-1.96077910432436,-1.97161282435493,-1.96875930678098
"Bpifc",-1.49209404125418,-1.47032516799237,-1.47607194173432,-1.49182581443114,-1.4919800410914,-1.49704059065024
"Cry1",8.53884637096914,8.22080389860243,8.16759123464255,8.26040955580063,8.21707168911083,8.45097452259897
