"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Hnrnpl",7217.49930546693,-0.318307178748093,0.225986383352362,1.94620561608113,0.162996319166748,0.48444240165225
"Eif1b",469.077778671546,-0.2648937660381,0.189296360437456,1.94599533522106,0.163019045890484,0.48444240165225
"Psd4",23.8021131827352,1.0877618716596,0.745889563043701,1.94553310941259,0.163069015024163,0.484486994251679
"Tbck",240.091404356847,-0.33682278559388,0.241255765302477,1.94450046661893,0.163180712534182,0.484714926813754
"Xpc",563.693303241581,0.41482808570448,0.292768037372772,1.94399046220576,0.163235910226043,0.484724867965473
"RGD1563888",245.126269670199,-0.415067127705495,0.296904453980867,1.94382317566044,0.163254020263756,0.484724867965473
"Slc38a7",1270.41509722838,0.178124414540558,0.127773895967128,1.94171159597096,0.163482812150159,0.485194218255081
"Azi2",563.795650725361,0.259380466105109,0.185630790158717,1.94152908726471,0.163502604346746,0.485194218255081
"Nudt19",298.334121826664,0.225233223590041,0.161585469174897,1.94139507297731,0.163517139297916,0.485194218255081
"Usp18",9.31827032308417,1.75632378010656,1.18354002387192,1.94057397930041,0.163606225882871,0.485302798958037
"Cep162",121.638736778256,0.307171346143596,0.2204169908182,1.94041227505753,0.163623776916501,0.485302798958037
"Sun2",7341.10350135842,0.369052082630786,0.261161751450765,1.93868826466152,0.163811031076333,0.485649480876424
"Mutyh",89.2444670005474,-0.502577943074913,0.357133617141646,1.93866711267118,0.163813330028779,0.485649480876424
"Slc7a7",126.231146033083,0.485609764077402,0.346648008092838,1.9383683540307,0.163845805231817,0.485649480876424
"Med16",1230.17344594275,0.229984262954486,0.164860396426864,1.93707757678365,0.16398619787468,0.485788867045994
"Zfp57",319.384010015306,-0.231204948209604,0.165975381724244,1.93684047209825,0.164012001734737,0.485788867045994
"Slc7a8",80.861683454183,0.984524761774298,0.65980532255329,1.93609707314297,0.164092935159665,0.485788867045994
"Dbf4",294.736835775813,-0.560552195601076,0.390739490224649,1.93590311943851,0.164114058294854,0.485788867045994
"Far1",969.730406784542,-0.333815466964046,0.23965769096347,1.93584295016993,0.164120611848737,0.485788867045994
"Armc6",155.657231857946,-0.351783102398758,0.252033194913937,1.9358404493926,0.164120884236432,0.485788867045994
"Cfh",509.454731835822,-0.629992678712482,0.449048278422277,1.93568119376201,0.164138231616464,0.485788867045994
"Plpp5",1415.78867229915,0.298814724848713,0.213578806505627,1.93350848189925,0.164375109938635,0.486386055609581
"Adam33",131.291865264381,0.801330764188909,0.573290078871354,1.93137089090723,0.164608540554013,0.486872908728126
"Stt3b",2681.79058328749,0.171898730500299,0.123646920728071,1.93119975541865,0.164627245378861,0.486872908728126
"Podnl1",442.21139476444,-0.29596462585379,0.212009194145767,1.93054801810399,0.164698501432532,0.486872908728126
"Tmem42",198.39004477627,0.441783873210089,0.313724505980497,1.93011082103522,0.164746321026845,0.486872908728126
"Miga1",37.9022294357639,-0.633920489931448,0.452737248648954,1.92977607488403,0.164782945507333,0.486872908728126
"A2m",141.822716230553,-1.87812204513268,1.09735798182611,1.929371228024,0.164827252122031,0.486872908728126
"Actr1a",4533.29728288644,0.148882927144037,0.107168958968148,1.92918625889595,0.164847499755465,0.486872908728126
"Top2b",1188.44024434317,-0.300523974493483,0.216067902827719,1.92911626799548,0.16485516204629,0.486872908728126
"Cdc40",360.471212699247,-0.205629163376018,0.148020050724581,1.92910986919516,0.164855862578651,0.486872908728126
"Mrvi1",588.359354862342,-0.374164718660761,0.266274772094222,1.92794106776229,0.164983878546751,0.486964752730058
"Cfb",302.517479453014,4.03537532807993,2.25847411432112,1.92791552968778,0.164986676938203,0.486964752730058
"Zfp1",94.2577684451191,-0.382846687664746,0.275211767386264,1.92757527697538,0.165023966066374,0.486964752730058
"Adam23",74.3542305566932,-0.608072354178291,0.432395090938252,1.92754276458487,0.165027529683218,0.486964752730058
"Rnd3",3942.04252446086,-0.438790002790652,0.315478320185009,1.92705863460409,0.165080604594635,0.487017657625688
"Ppargc1b",9.76320308112554,-1.34515165691619,0.965518400197113,1.92648844264794,0.165143139466142,0.487098442652687
"Prpf4",436.192872291824,-0.436993459284155,0.309401710700207,1.92544127360992,0.165258056587463,0.487276976030459
"Snrpd2",1331.76613949524,-0.194146003339553,0.139827407497222,1.92529607702708,0.165273997787628,0.487276976030459
"Ptafr",48.9097834883177,0.740517252801443,0.528245392856519,1.92483119837283,0.165325048860191,0.487323803883357
"Slc49a3",50.669621181554,0.74672916535067,0.521974028705973,1.92427443199578,0.165386214400927,0.487354431364553
"Hmgn5b",340.151559798915,-0.683207416190899,0.471295027018112,1.92409638539539,0.165405779801364,0.487354431364553
"Capza1",3978.77967178525,-0.214462588937048,0.154467890383432,1.9227974350103,0.165548600567712,0.487671547208074
"Srcap",1930.90621244,-0.273229548466918,0.195990527705735,1.9211883857634,0.165725712608526,0.488089521703794
"Sez6l",4.48283665951552,-2.78146448058724,1.82501352897887,1.91994326563717,0.165862914838617,0.488377395685213
"Palm",1104.94916825206,0.355477443503592,0.253608423582097,1.91966182438365,0.165893945405953,0.488377395685213
"C1qtnf7",167.616999157698,1.22077872939426,0.827891835080032,1.91917357967915,0.165947793037314,0.488432151257023
"Bco2",11.4772892393329,1.00384382478264,0.721566045987304,1.91836677826418,0.166036817547936,0.488590397273678
"Irf7",113.47260398954,0.451383684858079,0.322840835529141,1.91795255377662,0.166082545355648,0.488621195539961
"Syt11",407.806332512768,0.495467444314255,0.349012323619463,1.91666556850379,0.166224712496532,0.488935648708225
"Arpin",420.780972098431,0.26873721956624,0.193830561712155,1.91604878452319,0.166292895048782,0.48903239530793
"Slc26a10",117.683600016314,0.86986158947137,0.61341252570665,1.91537883234948,0.16636699136028,0.489053045301291
"Tc2n",49.0433165283738,-0.742669589497779,0.530269769313378,1.9148900065786,0.166421079043167,0.489053045301291
"Eda",104.537670035582,-0.36132358400748,0.2608441689741,1.91468270161241,0.166444023038036,0.489053045301291
"Aplp1",1256.9970721877,0.284377784928591,0.205369612451887,1.91437279440503,0.166478329544348,0.489053045301291
"Dgcr8",791.320631695501,-0.388450038425257,0.2801587678926,1.914323007606,0.166483841661921,0.489053045301291
"Nlrc4",1.51253056063038,2.92262430509414,2.20612233154781,1.91347923844713,0.166577290869976,NA
"Nfkbie",282.911834337847,0.562099611801327,0.39472860712404,1.91347118071482,0.166578183570149,0.489053045301291
"Rilpl1",814.48009388961,0.412429208846788,0.292881139369919,1.91346931470136,0.166578390302859,0.489053045301291
"LOC360919",7.91163702959182,1.41431245931385,1.01642374337103,1.91257942345874,0.166677013435724,0.489053045301291
"Nipa1",408.509698070079,0.434273883315289,0.309364079041501,1.91235718632002,0.166701653529956,0.489053045301291
"Bola2",931.023720088932,0.175710807098834,0.127035251278958,1.9122942010091,0.166708637657553,0.489053045301291
"Suv39h1",499.667212158088,-0.624091162455848,0.432034867450098,1.91224563441178,0.1667140231945,0.489053045301291
"Slc35f2",159.681775861579,-0.483007611383976,0.344025465508957,1.91216079772068,0.16672343119025,0.489053045301291
"Trappc2b",333.157530785666,0.229924547987102,0.166175157403264,1.91180727840707,0.166762641387134,0.489064533693444
"Adgrg1",86.7873725208113,0.966528312319967,0.672460783095998,1.90989753092833,0.166974641532809,0.489582650808323
"Acadvl",765.352457514319,0.29212203729029,0.210506746792293,1.90700069087318,0.167296807707824,0.49042349574938
"Dapk3",853.433670511259,0.268287279502117,0.193335798512663,1.90665187806918,0.167335648211598,0.490433603483103
"Zfp641",69.4399930681695,0.426815762904779,0.309002027168338,1.90587174569836,0.167422553780276,0.490584548051022
"Slc5a3",15.9658304284514,-0.791069584738213,0.573146413538371,1.90389716031854,0.167642750736646,0.490917251559964
"Ewsr1",2649.89730223525,-0.234708733657963,0.169667174058312,1.90365797466904,0.16766944617382,0.490917251559964
"MGC105567",12.2328831675841,1.0036904006004,0.720361839815791,1.90347161040216,0.167690249608184,0.490917251559964
"Fam193b",490.034150350208,-0.307976598370613,0.221912209426308,1.90344997812839,0.167692664562995,0.490917251559964
"Pmm2",2117.6845172066,0.237141416032046,0.171384527120126,1.90312503558367,0.167728944858448,0.490917251559964
"Atoh8",1198.56575602564,-0.390977579241494,0.278780178735635,1.90274400503081,0.167771498914915,0.490917251559964
"Arl3",939.910992098954,0.214881310581415,0.155471161321862,1.9024855518922,0.167800370384777,0.490917251559964
"Parp16",299.744947083457,0.236058545320382,0.171097322044994,1.90221660746383,0.167830419867159,0.490917251559964
"Ttc23",307.574243671047,0.328374745058001,0.236602660537318,1.90199716972075,0.167854942476085,0.490917251559964
"Osbpl9",1472.66668422434,0.160071531435954,0.116052549089559,1.90078850738188,0.167990086528993,0.491208826552492
"Snx21",575.518293924814,0.195587245498603,0.141779581647677,1.90025587806628,0.168049680937335,0.491279415347815
"Clec2d",123.980609364387,-0.638568297554684,0.447811003875787,1.89982121071487,0.168098332607739,0.491317990918676
"Nova1",52.4337722200748,0.556242237036929,0.399377506670542,1.89930679920059,0.168155930779934,0.491382693550726
"Rraga",1289.90563632654,-0.161946544956148,0.117511582678897,1.89831354466239,0.168267208564842,0.491536249117673
"Tmem256",192.840726934772,0.297630165812487,0.215840916360001,1.89807314968935,0.168294153539331,0.491536249117673
"Ankrd33b",1.16949757902611,-3.61481677285973,2.85088307200126,1.89789609229004,0.168314002404367,NA
"Fzd2",1949.21635156684,-0.24861977250235,0.179994576158676,1.89788812933242,0.168314895147821,0.491536249117673
"Zranb1",456.499944729301,-0.215062677660774,0.156052451101799,1.89731333952309,0.168379350345709,0.491620871837438
"Ccna2",1546.06164408162,-0.625709318795788,0.432581065202256,1.8963539560016,0.168486995755874,0.491831535746607
"Nup58",684.982857382481,-0.309916346237005,0.224163355115804,1.89550671992403,0.168582123519325,0.491833579960173
"Rarres1",239.537519237139,-1.14441738119095,0.715575094074765,1.89473621933804,0.168668688875977,0.491833579960173
"Bmp7",6.34438620654186,1.53533574937471,1.09632691642153,1.89472606314585,0.168669830259347,0.491833579960173
"Cst6",10.6460683171278,1.32839356164659,0.958591333331624,1.8945281766244,0.168692071107968,0.491833579960173
"Mpnd",523.659083162875,0.222403580666503,0.161471899402601,1.89400237134548,0.168751183717895,0.491833579960173
"LOC103693699",43.7788812399181,-0.488759913376648,0.354916893445617,1.89383473321487,0.168770035093128,0.491833579960173
"Myl12b",4809.86114395221,0.282852973358899,0.204162200744086,1.89283962815139,0.168881987152827,0.491833579960173
"Mecom",69.7060621499119,-1.63620258192934,1.10142633024259,1.89277561858079,0.168889191320105,0.491833579960173
"Nle1",305.488703011297,-0.22448124688825,0.163128611202164,1.89275681352246,0.168891307864105,0.491833579960173
"Tex261",3387.38440627964,0.261468710100891,0.18992138003642,1.89265976751975,0.168902231054212,0.491833579960173
"Mcm5",1108.26630106407,-0.630981095741564,0.43533184834443,1.89236467009401,0.168935451261273,0.491833579960173
"Kcnn3",6.85789003727812,2.38667631532218,1.68349356238503,1.89231337409165,0.168941226606057,0.491833579960173
"Ifi35",170.492973815001,0.580385241261918,0.4136368291073,1.89188188606526,0.168989816199597,0.491833579960173
"Mcm3",871.341711408816,-0.570855090983694,0.398607172158235,1.89172303734317,0.169007708089348,0.491833579960173
"Zfp329",162.130241349693,-0.291132424027044,0.211567089437386,1.89146468205514,0.169036812518557,0.491833579960173
"Cx3cl1",1846.41412915813,1.97239142306999,1.19912270629149,1.89124237666499,0.169061860428998,0.491833579960173
"Myrip",19.5521047923855,0.711399366074165,0.516752549514275,1.89098304383001,0.16909108572781,0.491833579960173
