"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dnai2",3.03808922125772,-0.605973652261822,1.50780268849944,0.149410535960772,0.699099308804753,0.999634216070306
"LOC103693502",2.53352766338412,0.887424873962259,2.41331829813713,0.149372902732743,0.699135356564202,NA
"E2f2",88.4971127719084,0.129545055503488,0.334351473262854,0.149372712708775,0.699135538595801,0.999634216070306
"Cttnbp2nl",970.240214689913,-0.0858338662723172,0.220958408397329,0.149361655838959,0.699146130645091,0.999634216070306
"Coa5",869.754565188625,-0.0742934612258073,0.192049184711511,0.149281012444519,0.69922339749796,0.999634216070306
"Rnf13",1158.8847301332,-0.0794240381227436,0.205374769634153,0.149263494359431,0.699240185271225,0.999634216070306
"Slc35e1",1752.96754505749,-0.0866588493804091,0.22370069853177,0.149191910363228,0.699308796768793,0.999634216070306
"Ulk4",90.2199784752174,-0.125557449393267,0.325036784271688,0.149180573939987,0.699319664186232,0.999634216070306
"Mapk4",2.11077023497644,-0.865014183965706,2.12057459967389,0.14916007164803,0.699339319471031,NA
"Tacr3",0.875961695572669,1.62318318932468,3.34958657288438,0.149143537597617,0.699355171584212,NA
"Chrna5",0.875961695572669,1.62318318932468,3.34958657288438,0.149143537597617,0.699355171584212,NA
"Sf3a3",1125.85556937041,-0.12750129577751,0.328737590994176,0.149052907773623,0.699442081375507,0.999634216070306
"Mau2",819.58419718802,-0.0990377783257704,0.256502887602558,0.148975656210325,0.699516186008228,0.999634216070306
"Krt80",4.86289068769653,0.512143119552091,1.31665766829432,0.148710391456792,0.69977081307508,0.999634216070306
"LOC103693776",733.870643831225,-0.0923116988021729,0.238434753744236,0.148699289775621,0.69978147524054,0.999634216070306
"LOC100364194",1.84900946458365,-0.645534237711989,1.63355323423585,0.148644641732616,0.699833966432275,NA
"Ecd",378.63977286767,-0.0902103669433659,0.233864262953932,0.148632673063233,0.69984546420117,0.999634216070306
"Cdk5rap3",798.947271031344,-0.0786744378226634,0.204087646476716,0.148587232032739,0.699889122222616,0.999634216070306
"RGD1309036",3.93191563351036,-0.463633883964453,1.19687366695152,0.148371219137147,0.700096764161303,0.999634216070306
"Efna2",23.4185715376571,0.255821318589781,0.643665762156322,0.148313710901611,0.700152073085116,0.999634216070306
"Gfra2",14.2929543277461,-0.496780944094551,1.12472586289663,0.148310411908163,0.700155246287182,0.999634216070306
