gene_id,gene_symbol,WKY_Joint_5d_A,WKY_Joint_5d_B,WKY_Joint_5d_C,WKY_Joint_3m_A,WKY_Joint_3m_B,WKY_Joint_3m_C,SHR_Joint_5d_A,SHR_Joint_5d_B,SHR_Joint_5d_C,SHR_Joint_3m_A,SHR_Joint_3m_B,SHR_Joint_3m_C
192109,Pou3f3,5,3,194,7,31,41,130,153,443,6,7,18
192110,Pou3f1,1,0,2,0,0,0,1,0,1,0,0,0
192117,Syngap1,402,675,987,540,511,1068,594,628,896,455,552,846
192126,Dab2ip,1374,1232,2096,971,1058,1489,1538,1556,2169,1317,1274,1864
192129,Vmp1,5180,4078,2390,4723,3413,2304,3221,3164,1608,4606,3718,2451
192147,Polr2m,3923,4051.88,3439,3457.97,3579.98,3209,3671.98,4094.99,3487,3348.98,3533.98,3297
192152,Tgoln2,3536,4917,2368,5956,5387,3654,3716,3728,1826,4914,4423,3952
192154,Hip1,3035,1646,3514,1770,1574,2677,2889,2770,3122,2931,3743,2688
192172,Mpst,405,758,387,915,840,618,510,635,358,625,356,764
192177,Unc13d,19,11,14,27,21,29,14,23,6,31,27,21
192178,Tnrc6b,567,946,639,661,701,1013,923,686,665,684,640,685
192179,Gpm6b,1862,8203,1753,4949,3779,1544,4826,5010,836,3469,1467,1952
192180,Nip7,677,468,178,412,421,180,505,564,275,452,479,189
192181,Podxl,2,2,5,0,1,1,0,2,4,0,0,0
192183,Nectin1,2025,1441,3210,1305,1410,2259,1428,1530,1458,2371,1263,1639
192189,Syt17,128,131,179,336,289,203,110,132,190,287,118,177
192203,Fap,315,1193,199,564,1061,758,725,678,145,1067,208,1397
192204,Ehd4,2689,1289,2187,1344,1511,1646,1572,1629,1749,2063,2023,1501
192207,Ubxn11,24,49,30,45,31,36,26,45,15,39,45,35
192208,Slc38a5,1,0,2,0,2,1,1,0,4,0,0,1
192209,Spdya,0,1,0,1,3,1,0,1,1,7,1,0
192210,Dnajc21,411,236,266,169,221,260,290,290,307,285,271,307
192211,Prom2,1,0,0,8,4,0,0,2,1,4,0,8
192213,Rasgrf1,35,18,67,13,13,14,22,17,12,7,12,14
192215,Slc9a5,49,81,123,84,77,94,78,71,75,109,135,100
192218,Kat5,854,620,679,598,666,682,628,684,739,557,492,796
192223,Opn4,3,11,0,10,5,26,3,2,0,8,6,9
192225,Spata7,181,219,98,261,236,157,201,186,108,218,212,200
192226,Cand2,616,529,975,366,434,804,434,530,552,436,452,537
192227,Ptgr1,1458,731,275,1040,920,464,807,855,189,1088,873,259
192228,Haus1,379.88,130.42,133.17,135.48,152.5,40.05,155.95,160.56,135.1,173.02,133.78,72.8
192229,Cep19,606,534,337,626,601,346,525,561,353,580,473,386
192234,Eif2b5,1574,1152,1029,1241,1318,1134,1278,1332,1147,1195,1069,1237
192235,Hyou1,4852,4485,5785,4023,4954,8525,5200,5439,7379,4986,6516,9910
192241,Atp5po,2492,1962,1316,2017,2128,1309,2111,2280,1729,2000,1741,1421
192242,Akr1d1,0,1,0,0,1,1,0,0,0,1,0,0
192243,Golgb1,523,1233,670,841,786,1328,1120,950,918,1022,1199,893
192245,Hspb6,1203,598,2170,510,515,1519,885,872,1542,602,654,1298
192246,Phf5a,1429,684,774,686,838,542,794,856,834,829,691,480
192247,Sez6,0,0,0,1,0,0,1,0,0,1,0,3
