"","WKY_Joint_5d_A","WKY_Joint_5d_B","WKY_Joint_5d_C","WKY_Joint_3m_A","WKY_Joint_3m_B","WKY_Joint_3m_C","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C","SHR_Joint_3m_A","SHR_Joint_3m_B","SHR_Joint_3m_C"
"Tmem220",6.1649452769392,6.44087472812275,6.46147925640951,6.64359071231862,6.72135921403155,6.40397599206378,6.40877788270968,6.2442620277933,6.20818122058775,6.69011676121755,6.37580539688677,6.77122953094868
"Adprm",8.34959740860514,8.32786063016327,8.28099920304716,8.62073498906622,8.54492408056064,8.47711175963043,8.20201014260632,8.26529506000217,8.0555371386313,8.51301849250329,8.31667265651702,8.75640862870313
"Myh1",7.45776037463988,5.94618375134505,9.10670952665825,4.57181094154045,4.69010904506057,4.27664685462439,7.01735280782771,7.01338230360789,6.32083760014855,5.50041587720204,6.53244674416465,4.66053694126295
"Mfsd6l",-1.7375473128131,-1.71168618123411,-1.73710387355553,-1.73705264056277,-1.71191095707371,-1.73718700316565,-1.73710825743553,-1.73733765971456,-1.71094471341718,-1.73701410099384,-1.73561493998235,-1.73740043476661
"Rpl26",13.1709743961111,13.3146119170294,12.8807869622009,12.9051039771948,12.9688798704285,13.1822933294617,13.1063942633791,13.1742451218565,13.0816676184239,12.9806851321252,13.1097278100133,13.2205633339824
"Arhgef15",-1.96995200293259,-1.969731262776,-1.97907434576698,-1.96958625290503,-1.96989745719963,-1.96023538543661,-1.96962737482511,-1.9697969899386,-1.95973282512356,-1.96955775757628,-1.96852324800318,-1.97929361675106
"Rangrf",6.97398159036743,7.0535967751339,7.18854514462646,7.14439315363005,6.96949332166343,6.92563838879724,7.15290597692012,7.26028471908692,7.02741447472331,7.0332542448709,7.0200241414554,7.16236895341706
"Pfas",10.1255547747633,9.93845972912169,10.2184666341459,9.76756589954926,10.0057016138254,9.70862609274993,9.87145012281504,9.91193563359553,10.2796772003735,9.75940138527245,9.88585780670823,9.42619355555618
"Per1",9.63560545202751,9.97791660663804,9.92599903805311,10.4165281556327,9.94514058369515,10.1318536834058,9.86945600850204,9.95569161137632,10.0430427429392,10.1830259396752,10.1323468684585,9.95696014860461
"Hes7",4.00769877796199,4.05122640512463,4.29528874144472,3.98204670917628,3.8927370447295,4.17699326994468,4.21766477258779,4.29481812580255,4.01911326323866,3.94324679505598,4.13288724637879,3.7697676637807
"Aloxe3",2.78360798495742,2.90744382873251,3.07964075970427,3.26388263347668,3.01302621280212,3.32529247886159,3.05442978591686,3.17370326440635,2.86395221781611,3.15259516241971,3.05019619662089,2.9305570782843
"Trappc1",8.86376821121528,8.75841515050679,8.84178740019562,8.79658503630719,8.84865418132989,8.90995460176845,8.72387957848593,8.84696965100506,8.62948243710578,8.88674003200509,8.81216108438703,8.88736202355129
"Naa38",9.75854703824908,9.05300631493098,9.211924727604,9.2435487153559,9.40407298747125,9.1205054830683,9.09571299169707,9.16047058748084,9.49192671492565,9.47304509009282,9.11049759151411,9.32509373279807
"Wrap53",8.13454297580643,7.89131306462064,8.07688239916338,8.08108264803063,8.15808620821279,7.99275463486275,7.85547774385066,7.86525873718263,8.02497842644719,8.11379422195344,7.75162347787374,7.83097407829216
"Fxr2",11.2145390700675,11.0552114974153,11.2668002813203,10.9794363952541,11.1885317478934,11.2643683399938,11.2622897866162,11.3152451298032,11.1079221469731,11.3045157598628,11.3188966082407,11.1802422292894
"Cd68",7.24211145416819,5.97321034417786,6.20357830857798,7.11337305856133,6.53563594228877,6.51452310126514,5.61258613361429,5.63127544051162,5.57244605124389,6.71299334564294,5.51109103505957,6.87559091592527
"Eif4a1",13.9976516058476,13.3929608331659,13.5969453101219,13.3804009485038,13.4747749678375,13.3934109190601,13.4587335951095,13.4954458393962,13.7098080191463,13.4515258404909,13.3870892763018,13.3191272049983
"Tnfsf13",6.5402880514908,7.00358750998974,6.63932946020323,8.18454283956761,7.78310544323628,7.71017742552669,6.28167893495073,6.33960837630291,5.9668084763593,7.49108323812808,6.41273175455171,7.70199771201971
"Zbtb4",10.6442020879988,11.1187581093831,10.9676702021811,11.4257773999228,11.1860242251962,11.4236502909729,10.9980741665008,10.94252373083,10.6019089947312,11.2303718245223,11.2588827665507,11.4090776675672
"Tmem256",7.77198636555264,7.49828713114718,7.74610211586533,7.85947620425458,7.43616174164306,7.44764658410713,7.48210565349173,7.42293051466366,7.57277224776461,7.76729726556905,7.58678025187975,7.64599161636376
"Acap1",0.0164566859960181,0.105646488203853,0.0857775920793618,0.0630037152357402,0.144729095350747,0.0354157163502892,0.0628057387072459,0.061995754525339,0.137358045006586,0.0166965390728972,0.116392989898867,0.0353121500591174
"Eif5a",14.4490914613089,13.7228099061605,14.0975811990468,13.8476601670295,13.976209932098,13.6375613304218,13.7869611714721,13.8917679935606,14.3327423211588,13.925131072731,13.7800354340795,13.6219487185926
