"","WKY_Joint_5d_A","WKY_Joint_5d_B","WKY_Joint_5d_C","WKY_Joint_3m_A","WKY_Joint_3m_B","WKY_Joint_3m_C"
"Nme6",8.34302170190148,7.99243362148108,8.25385575404718,8.0270085506031,7.94095483890802,7.89785360239966
"Ramp1",2.98184509257122,3.13434192704684,3.3599147310769,2.88640446516132,2.80732064795646,2.54504133529101
"Ramp2",8.13405514213539,7.95970345934743,7.9771995453548,7.99206147101894,7.47562362238373,7.80352230208795
"Sfmbt1",8.82555679182123,8.63334500780214,8.89299507782839,8.58300126357484,8.51445103931964,8.38518197343053
"Acan",11.9850387845011,9.55023023446425,11.7293019098379,7.93170054977518,7.91206677564337,6.96021626235407
"Degs1",11.8261975850562,11.5188516812339,11.7302220055466,11.6861116126538,11.6634654559076,11.6170911618792
"Fxyd1",8.25318569133275,9.09791530163194,7.98696026396122,8.32825482998044,8.66177662536926,9.18360596019598
"Gabarap",12.5250137950873,12.5886538023989,12.5939012155757,12.7351859822415,12.5665037322241,12.6137774404002
"Slc30a1",8.67453765897701,8.89892530688782,8.6117157106839,9.20619123232151,8.92926779177857,9.24274528429856
"Ppp1r1a",3.22036759579016,3.26068586972545,3.39891780078132,3.3693863007852,3.5696544509006,3.31112930781939
"Gng7",3.33261294600203,3.66299773636696,3.57139315792971,3.60150148640395,3.30286184814831,3.37859385053091
"Kcnab3",1.78277436266113,1.98433599074483,2.0366740134409,1.82160948731767,1.85424254211713,1.68480717797948
"Ncan",-1.97278560808162,-1.97263684543978,-1.96936900674818,-1.95936959296842,-1.97275671386663,-1.96940537343005
"Rabggta",9.36941511864785,9.12973928909674,9.38663206924766,9.31492710132508,9.25733631776959,9.14907684417198
"Lxn",11.53015829384,11.1384119734575,10.8999128964763,10.5626068460394,10.6510815760069,11.0412164481955
"Stx8",7.54334244087586,7.52400140033143,7.64396700871679,7.60905805232743,7.54274406743717,7.46560597176915
"Grk5",9.6691533591826,9.61075033168556,9.66235045772604,10.4471752229001,10.3782293959082,10.3903036971122
"Grk6",10.4126317575421,9.79106992997914,10.1979098203816,9.55330688391538,9.77546099368447,9.56832496217894
"Grk4",5.20668569703772,5.4390185513755,5.15871681849993,5.18590656559384,5.12846698032432,5.32132207866576
"Asl",8.39368330952149,8.49636198671281,8.43877303979017,8.80042083823471,8.66326168988536,8.73809087238702
"Tgfb1",11.1644269154379,10.6878677288248,10.9609959727192,11.3796640748548,11.3066506395331,11.3083087066061
"Nxf1",11.1193486125992,11.1297336341429,11.1519526178804,11.0972772740086,11.0965175644724,11.0694859247311
"P3h4",11.4982421014751,11.3605809509891,11.2946451150468,11.2522804420016,11.418345559647,11.4700794120096
"Rpa2",9.58148238660243,8.67027378278532,9.28401426359678,8.83209351373493,9.15329327850452,8.83455721721683
"Ptges",8.30537280958761,8.42763633373433,8.25566153379884,9.47311377919455,9.3827153965392,9.53875762572901
"Milr1",-0.610071002973017,-0.645359874777209,-0.638363378736954,-0.608951657038801,-0.609923856159793,-0.598789816737456
"Ltbp2",13.8247313590367,14.7541964971229,14.1256952064979,14.7190554069108,14.800322154682,14.9234575023783
"Ltbp1",12.379161446323,12.3952215567821,12.0724014873403,12.3407375743663,12.4069801274854,12.6886488651381
"Ntrk1",1.17234186131485,1.17327383349369,1.25813472797405,1.24418439089049,1.36391160126238,1.21872111550666
"Hand1",0.184542597812669,0.253094174889641,0.193231403346181,0.185723491757236,0.14913435888409,0.193015908325637
"Kmo",-1.50271057662207,-1.47726417061305,-1.48990621752076,-1.47713329653281,-1.50265549056086,-1.48997554964363
"Slc9a3r1",9.65166067215871,10.1578675640704,9.97110330079299,10.8364589003492,10.9929239119552,10.8483522234737
"Ninj2",0.980620625236531,1.0162754541238,1.07022707508352,1.01698891933998,0.980789284442933,0.927110066488102
"Dbil5",2.70528419603236,2.71142036523689,2.67210445181022,2.68804830733005,2.50719675162194,2.63387035830039
"Ago2",8.55229216326519,7.92830505804932,8.17061048897123,8.04094681574843,8.07828922734361,8.12930614323205
"Ltb4r",-1.09370020341837,-0.989505756968927,-1.06747017245583,-1.09318185632015,-1.09369156803836,-1.06756951991708
"Phlpp1",9.20703779769956,8.9987051406888,9.0157202615478,8.68041489674609,8.47780073680587,8.66625902442236
"Hcn4",5.37401031709494,5.13259261644037,6.02051267319293,5.27089913507925,5.12634621120267,4.43141146671569
"Syt7",3.22784157586071,3.209713774797,3.25351883349276,2.8703100668167,2.97388110853536,2.88735442951213
"Ip6k2",7.84133320112994,8.27018707911017,8.11081669215481,8.37612556686758,8.39485014952554,8.3304313061618
"Rgs19",10.3739255593617,10.1558254649611,10.2196597531075,10.123034188982,10.1623152874592,10.1878904972745
"Pold1",9.91773505197841,8.91677246548651,9.63965259387494,9.00407301037705,9.20733269423447,8.88330401716328
"Nucb2",10.9003086328514,10.9949512450056,10.6963594147822,10.9113866481849,10.9805269640792,11.1972273302784
"Dnase2b",-1.96772983717637,-1.96756665515808,-1.9748405161134,-1.96749135407201,-1.96769814228133,-1.9604024782305
"Trdn",-0.940046508158904,-0.939998760864738,-0.920150456663822,-0.939976440473724,-0.940037300486349,-0.959879048328036
"Nat8f1",0.461733173045811,0.462559157073866,0.475224635461655,0.593906456621993,0.461892495658362,0.514821005738361
"Bmp15",0,0,0,0,0,0
"Tmem33",9.32055057091493,9.43626577260811,9.49432895929989,9.63221467882283,9.54527739569503,9.47282524972056
"Tcam1",-1.04816454888398,-0.977551251472345,-1.04906702218639,-1.04810238282593,-1.04815638037371,-1.01192025959159
"Shank3",6.3947236692558,5.9573058819912,6.85406529916328,6.0086625339158,5.39911179831321,5.02583664257473
"Camk2n2",4.06655125817004,3.67873945466083,3.85550919605454,3.82596836614206,4.02778798373621,3.94401433530003
"Nxph3",4.06749802970857,3.78586651485032,3.97113918772432,3.65209279308096,3.71741148283133,3.64029522251127
"Nxph4",5.97568711953853,5.94505231702152,6.01063416822003,7.4308227734688,7.17676866185508,7.25353126772194
"Epb41l1",10.5860294407054,10.8163442533796,10.5995716981365,10.587226735459,10.4206619600219,10.6055594966464
"Negr1",3.36437994265908,3.67833992036788,3.35307552220436,2.94671975223231,3.04559518467086,3.1644418777607
"Ambra1",9.81789609373581,10.0994349042617,9.9380576244489,10.0075312930606,9.98796010374827,10.0183535729543
"Adcy10",3.72041142518157,3.88401633603063,3.68345670437232,3.88823163614852,3.95447526041374,4.04011062451492
"Cnksr2",5.11169844603477,5.47006460312164,5.17632389794937,4.73099792899884,4.5511538125733,4.75563349741491
"Erbb4",3.35690718483655,3.35888730630152,3.44938004493696,3.44761770754023,3.44326199535649,3.35395705208044
"Kcnk1",1.93852667852375,1.93935358790105,2.56171497477149,1.93973898657024,1.93868640448864,1.31643785397035
"Ereg",6.49258945531083,6.42800323330881,6.28809661142216,7.33794584125995,7.11929347208838,7.40081938956183
"Rapgef3",4.84412207345265,5.66771962616879,5.29183462510087,5.13623706163992,5.60972784564874,5.33706867835418
"Twist2",8.90796196890421,8.4227246609986,8.98604282088758,7.906519069162,7.64951377784702,7.45731691756834
"Smad5",10.8178815436449,11.1173699591169,10.9403366907477,10.799648244176,10.7885863175526,10.8214063414975
"Sik1",6.42600384279818,6.54161567532119,6.41428453434197,6.48304643746573,6.00668542634944,6.3143911566253
"Arhgef1",11.5558862482822,11.4167480069261,11.4953102403635,11.3966445712321,11.4433100583508,11.4109842020321
"Synpo",11.7480279487927,11.6579865284005,11.4324930447533,12.1106664771911,12.149606161708,12.4006505132929
"Serpinb2",5.34112131336978,5.05576705650905,5.68402038016841,6.67260443537199,5.92882306864938,5.81513755678168
"Kcnv1",2.52738655000572,2.20717362954177,2.70553053014016,2.20747721934426,2.20664872058095,1.86881252959619
"F13a1",1.99187921253639,2.28440643343516,2.21185227585197,2.16854000932506,2.06514380130648,2.04313245244957
"Mark2",10.1406579221666,10.0844038700398,10.0672644580248,10.1419374332242,10.1886894759712,10.2105798926761
"Atxn3",7.71943924271375,7.96217754430972,7.98214141931296,8.35830798237513,8.28680122290906,8.18122157684087
"Akap14",-0.971801681164974,-1.00805463058217,-0.998942539079624,-1.00803337503459,-1.00809133093313,-0.999047969777809
"Msln",7.70245374082987,9.38391566014208,8.56243128513106,7.98793363256007,7.3404877570026,7.64496411013625
"Ensa",10.0399500161729,10.0373802739265,10.0870557692204,10.0786270373089,10.1069491961237,10.0443974925456
"Tgm1",6.29784631953557,6.81321581058401,6.77701705512343,8.5119897777775,8.51890716105779,8.29396247935401
"Arpp19",10.7134377179795,10.9934884321974,10.948681644629,10.8906776054231,10.7535063561132,10.7268734112276
"Npff",-0.0177931991176624,-0.0177069005034233,0.0282020967743489,0.0538465647371992,0.0178595147226471,-0.0100991068549686
"Fxyd5",11.6854466352589,10.7444860277908,11.4689203435702,12.0307156643993,12.3595433060511,11.9411754731798
"Camkk1",6.92858906385676,6.8218786832389,6.69165579920821,6.5355279025115,6.5228898631203,6.71278695715553
"Cep78",7.70879979149389,7.32417133381481,7.42678272734712,7.1857913636977,7.23269550734936,7.29894627083076
"Nr5a2",3.31792293058786,3.27994931204904,3.32733098127968,3.97122622674471,4.06529765162621,3.98986707922423
"Cd14",8.72636788156811,8.45011566717075,8.36840875647893,9.2621127776894,8.95815175611988,9.32996528479514
"Nr1h4",-1.50259047321719,-1.50230918869777,-1.4898911968662,-1.47722310062242,-1.47757955118413,-1.48995995999455
"Mapk12",5.37399581962415,5.60666992274881,5.55301776995185,5.77196956516912,5.73260649736928,5.68960313250382
"Nsf",9.81998281562364,9.53600925046333,9.62761992581304,9.50082937070418,9.36806169854912,9.4848216418571
"Csad",8.55320666913856,9.71863876818574,9.03325306293268,8.92545023080088,8.95501594053463,9.04290274139723
"Prom1",1.64128191692327,1.84853096473108,1.68584320926503,1.61155190470502,1.64184543087369,1.6857618993515
"Birc2",9.19689868204126,9.24148704841203,9.23570939795352,9.34722971352781,9.03620119796023,9.17519892301714
"Nop58",11.2637472828039,10.7678252725864,10.9655046137099,10.6508100463,10.7918267298314,10.771600052051
"Lmna",13.8090599315628,13.0303391571952,13.305987282717,13.1364158052066,13.1512143348547,13.2575273316926
"Plrg1",9.86698782538477,9.57293802144751,9.65120156031941,9.52241817922751,9.6804027195889,9.67017181250493
"Lin7b",-0.995222937921825,-0.958218082631368,-0.985899712951768,-0.995155846746079,-0.995214121596222,-0.98600578149598
"Lypd3",1.24562177886882,1.21106787772217,1.30698729538543,1.21150712389841,1.21030898884139,1.13226558927997
"Col5a3",10.4453005384249,10.6419194209167,10.7747070903594,9.49829822996534,9.68346840308934,9.35978620583871
"Tsn",8.74523540404141,8.95018851378391,8.95760774210579,8.97113288174925,8.98596919660406,8.86865525598353
"Arfip1",10.3141451386752,10.2312039196999,10.2279060274344,10.1187000685402,10.1485243267899,10.1783806994182
"Rbck1",10.4375996994229,10.5803313915367,10.545885128053,10.7777769823807,10.6136536598459,10.6587957385401
"Copb2",11.5675111243959,11.3475362812645,11.2908912900861,11.3631762208623,11.4288984000428,11.5626697231966
"Nrxn1",3.64418644446613,3.77182497537387,3.73441928879676,4.78403199267591,4.26098279042236,4.49609381267237
"Sult1d1",-1.10132205290588,-1.10092210721691,-1.07558513285914,-1.1007375504559,-0.999554363199125,-1.07568290402977
"Olig1",-0.989320721969349,-0.989275026248556,-1.01847440635598,-0.952041381238213,-0.989311910090859,-0.941500113417506
"Trpc3",-1.48340117675506,-1.48308830644952,-1.45539655274546,-1.48294393102106,-1.48334040785663,-1.51099035829567
"Cdkl3",5.04428076447036,5.33103728781116,5.01338399291563,5.31573901209147,5.03219240110838,5.34824073982505
"Fhit",2.62571206000466,2.8083187023237,2.73182713049433,3.18062723187734,3.05617949769195,3.1035916154545
"S1pr5",1.34472895706976,1.44822892158373,1.48918872509856,1.2709053985104,1.30866774986135,1.19707678841406
"Rhd",2.41489004323096,2.25166234237268,2.27280117079096,2.63397137612993,2.35316003039287,2.55404072527226
"Pfkp",9.18654294248365,8.83910022539046,8.81535245132442,9.18552916622247,9.27385494448521,9.42716118796648
"Ecel1",1.37349417446056,1.29077807472364,1.57458704650229,1.29091422688504,1.3332391624293,1.06962577274697
"Gde1",8.90644432228033,8.8607775408727,8.74087323303218,9.23266437798673,9.17804042477253,9.34809009992397
"Prmt1",11.6968537380298,11.3015150549923,11.3671930321456,11.1571962091761,11.3244071640909,11.372793050999
"Slc28a2",4.97111546549661,4.9750407087007,4.89149407942923,4.29916384657565,4.57575275241937,4.51904230716693
"Kitlg",9.87304612613703,10.3616967351208,10.4224105116776,9.8666657058393,10.4055925374893,9.83109004061558
"Mcl1",10.2572367921432,10.1997776203922,10.1352401073229,10.1135626358226,10.0307175641138,10.165407198913
"Vapb",10.872455051422,10.7305669236501,10.6418857839054,10.516695751346,10.6166710232111,10.7263085909092
"Rfng",9.14639271644744,8.96616541759824,8.95613992695601,8.88523340550892,8.9140337746702,8.99977273015639
"Bcl2l2",10.116253134199,10.0745112100076,10.077694979553,10.036295030698,9.96102583114629,10.0163476234724
"Lin7c",7.35868769067556,7.40659126746314,7.21712596839265,7.54395062122996,7.42793636048676,7.65145700153506
"Epn2",11.0193610940053,10.9220168762168,11.0004179084952,11.176659676364,10.9295039734583,11.023352901527
"Kcnt1",3.81665669658191,4.07121496680248,3.93208788201962,4.58576521406196,4.60064416084966,4.60505263712839
"Tsc1",9.58505720776042,9.84836771718276,9.61754978304806,9.78997260901433,9.64848695145061,9.81839245965601
