"","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C","SHR_Joint_3m_A","SHR_Joint_3m_B","SHR_Joint_3m_C"
"Oas1a",0.851134312377812,0.905076963943681,0.891847144614773,0.983398869820643,0.822789285183784,0.889352571048187
"Fnbp1",8.42796787509261,8.42349955915566,8.32147404096468,8.42793035274832,8.50969635717765,8.57307303112244
"Caly",-1.97333668440903,-1.9734344760679,-1.97003718941681,-1.97329336414833,-1.96093642705733,-1.97046328642448
"Cdk12",9.90895888458884,9.72736079597479,10.0425667502379,9.72037482849509,9.93285536899288,9.60220818878793
"Fbxo6",9.52037125755668,9.57538101428275,9.4778532975961,9.68995700655453,9.43572566339732,9.63286417329954
"Ss18l1",5.28659242672993,5.37184960403935,5.34367479971571,5.32207720102182,5.32148837206972,5.3073290022147
"Unc50",9.05762018002726,9.05773035794537,9.05981539371645,9.04521959467044,9.04359279653786,9.04226607087401
"Gmpr2",7.85688506763946,7.83069283922734,7.87339165012478,7.93657634649328,7.94875711601806,7.91306403456429
"Zc3h14",11.2444601584088,11.2309442681651,11.1843558306168,11.1838119216552,11.249878954576,11.2701918207858
"Eml2",9.34959949330216,9.36506429526754,9.23221769168492,9.42383722566049,9.48864245673374,9.58135404379705
"Ppp1r2",10.0820921369657,10.1433774241536,10.2535526985311,10.3646972265041,10.3737777092501,10.2284195499057
"Lamc2",7.37435608687029,7.43044798292262,8.13600049043324,6.83248982317493,6.71518146603496,6.04023718906816
"Nos1ap",3.30179960272768,3.2272587142437,3.29236837972855,3.30349187455136,3.0725339598537,3.16017369595967
"Wbp2",11.5445033421527,11.5566186066427,11.6778246734829,11.7883474715036,11.6168992215099,11.5753596474216
"Mfn1",9.15043716577015,9.00079919786146,9.17175221118373,9.17373779296222,9.16585006061264,9.07365989741951
"Prokr1",-0.970482021717308,-1.00057993938061,-0.960262439367857,-1.00053935696412,-0.99950727308719,-1.02529185620675
"Prokr2",-1.97298679320815,-1.97307486185689,-1.97001535301733,-1.96239732658225,-1.97236989439864,-1.97039908500564
"Hist1h1d",1.13020559255237,1.12927124875189,1.1362193091215,1.23474956979229,1.10602506758123,1.16390643021739
"Tex101",-0.435786076294594,-0.379859681598425,-0.400580876180482,-0.351557782653122,-0.435497431254678,-0.400769609719928
"Dnah8",2.96002886641245,3.0903342627443,3.05337857236605,3.09457120974004,3.21546033369309,3.12681876392889
"Bod1l1",8.93695344691247,8.77621316325859,8.86898684158919,8.52015047760499,8.78401014484411,8.6396767747209
"Rin1",7.68575171103156,8.03113197517995,8.29402351804625,7.92312618422031,8.36646827598065,7.70921555515999
"Nudt6",4.61198885910208,4.68968207900354,4.49836780115841,4.80688320338992,4.81323180353075,4.96252517135473
"Pkn2",10.2939049291748,10.2978098961308,10.3991718760089,10.1408838919393,10.4441555778725,10.1892052715498
"RGD621098",8.50724230970187,8.46508919033755,8.35425461649524,8.41692992656839,8.53184841629937,8.60630030495835
"Muc13",-0.943572312968367,-0.943599743479238,-0.894955654772155,-0.943560044769673,-0.943369705829829,-0.992095248751398
"Gucy2g",0,0,0,0,0,0
"Exoc8",8.23972614120751,8.16992175058818,8.11879153146135,8.18676946826896,8.20090707750761,8.27987068732478
"Magi3",8.87199424710992,8.78213116117465,8.70660025023823,8.304019784058,8.40026835373104,8.47260652279858
"Cgref1",9.56013186271552,9.47596350607579,9.61025281985216,9.82879132855415,9.76502082585061,9.70470094174588
"Impg2",1.18533115945487,1.10065229688788,1.11402538299338,1.21242860360629,1.19495729316635,1.23265929356432
"Cxcl10",6.25250806092466,6.14016106841519,6.29449648529335,6.90047886157305,5.71605644471981,6.21010573252301
"Nup58",9.48355222474032,9.4251158476759,9.60877468259662,9.24218217048122,9.49151804315229,9.21240946042824
